site_id,lat,lon,pft,cluster,dist_to_centroid
387404,34.95225,-120.54392,annual crop,2052,0.5667231206640871
443432,34.9683,-120.54543,annual crop,3569,0.5718123058282893
444393,37.28801,-120.75755,annual crop,1656,0.8395950776531547
459235,32.69628,-115.31197,annual crop,1334,0.7112100806015219
231363,36.16485,-119.02427,annual crop,4343,0.8727281194103249
197406,33.52448,-117.55628,annual crop,1548,0
211691,34.91003,-120.31182,annual crop,959,1.0597684444347593
52227,35.98755,-120.7909,annual crop,4548,0.748816642809699
73067,34.77482,-120.3512,annual crop,3615,1.012346767098993
242643,36.10508,-119.98115,annual crop,748,1.0510767977732915
197831,36.71698,-119.85667,annual crop,2174,0.8668594154630853
5362,36.85702,-121.64889,annual crop,1554,1.0788260287095375
527299,36.5614,-121.51775,annual crop,2531,0.46073879623833414
602374,36.72784,-121.59581,annual crop,231,1.1090925427450156
421915,41.3348,-120.34056,annual crop,3287,1.0361987256261112
336801,39.95231,-120.03462,annual crop,1116,1.1518928281082974
309837,33.084,-115.39369,annual crop,3639,0
207691,38.20888,-121.69281,annual crop,1106,1.700178689452379
335743,32.73973,-115.57305,annual crop,1215,0.7760268509304923
556027,41.28526,-120.52212,annual crop,3629,0.6875649132622367
294484,39.78754,-123.22138,annual crop,936,0.7647074819496987
529270,33.06091,-115.55692,annual crop,1848,0.9986062518809179
474591,34.97486,-120.4646,annual crop,184,0.5099118311250156
254146,34.95809,-120.50013,annual crop,1784,0.5752529497799896
233959,36.60875,-121.61177,annual crop,3188,0.5654883939319655
152191,38.62069,-121.791,annual crop,4906,0.4760358563184086
413339,37.39984,-120.92185,annual crop,3427,0.6588204171953703
12310,36.68525,-119.56429,annual crop,4476,0.5669781629991717
316493,36.61382,-119.46964,annual crop,1662,1.308017795681549
91219,34.98559,-120.46207,annual crop,3166,0.6191864513468157
219531,34.90953,-120.35549,annual crop,3155,0.6751009306720812
383625,36.61287,-121.5402,annual crop,4924,0.9436990763299675
76764,34.88007,-120.34624,annual crop,4521,0.8713760078546766
128411,39.75877,-122.17601,annual crop,3614,0.9524351139783152
488343,38.51737,-121.86411,annual crop,3952,0.9203958102448029
